Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year
prix du fioul,Fioul - Price,0.21,0.41,40500,10,2013
fioul,Fioul - Generic,0.42,0.75,9900,10,2013
prix fioul,Fioul - Price,0.2,0.51,8100,10,2013
prix du fuel,Fioul - Price,0.17,0.51,14800,10,2013
prix du fioul domestique,Fioul - Price,0.26,0.41,8100,10,2013
prix fuel,Fioul - Price,0.24,0.42,2400,10,2013
fuel,Fioul - Generic,0.22,0.91,5400,10,2013
prix du fuel domestique,Fioul - Price,0.25,0.44,5400,10,2013
fioul pas cher,Fioul - Low cost,0.81,1.11,1600,10,2013
fioul moins cher,Fioul - Low cost,0.76,1.01,3600,10,2013
prix fuel domestique,Fioul - Price,0.22,0.45,5400,10,2013
evolution prix du fioul,Fioul - Price,0.12,0.39,320,10,2013
prix fioul domestique,Fioul - Price,0.25,0.48,2400,10,2013
fioul domestique,Fioul - Generic,0.45,1,2900,10,2013
fioul prix,Fioul - Price,0.39,0.57,720,10,2013
cours du fioul,Fioul - Price,0.11,0.21,2400,10,2013
fuel domestique,Fioul - Generic,0.47,0.85,4400,10,2013
tarif fioul,Fioul - Price,0.31,0.35,1900,10,2013
fuel prix,Fioul - Price,0.41,0.53,590,10,2013
fuel moins cher,Fioul - Low cost,0.61,0.59,880,10,2013
le prix du fioul,Fioul - Price,0.3,0.34,590,10,2013
chauffage au fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.33,720,10,2013
tendance prix fioul,Fioul - Price,0.32,0.48,70,10,2013
cuve a fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.66,1300,10,2013
tarif fuel,Fioul - Price,0.22,0.48,880,10,2013
cours du fuel,Fioul - Price,0.08,0.22,1000,10,2013
prix du litre de fioul,Fioul - Price,0.14,0.27,720,10,2013
aide au chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.47,0.48,390,10,2013
prix du fioul alsace,Fioul - Price,0.11,0.72,210,10,2013
fuel pas cher,Fioul - Low cost,0.77,1.02,720,10,2013
cours du fioul domestique,Fioul - Price,0.16,0.41,480,10,2013
fuel domestique prix,Fioul - Price,0.38,0.64,260,10,2013
prix du fioul en france,Fioul - Price,0.08,0.76,70,10,2013
evolution prix fioul,Fioul - Price,0.1,0.48,210,10,2013
prix du fioul bas rhin,Fioul - Price,0.12,0.82,40,10,2013
fioul domestique prix,Fioul - Price,0.36,0.59,210,10,2013
aide chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.53,0.86,210,10,2013
prix du fioul moselle,Fioul - Price,0.23,0.33,30,10,2013
tarif fuel domestique,Fioul - Price,0.28,0.42,1000,10,2013
cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1,0.73,1900,10,2013
livraison fioul,Fioul - Transactional,0.52,1.51,320,10,2013
nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,2.04,390,10,2013
cours du fuel domestique,Fioul - Price,0.17,0.53,390,10,2013
prix litre fioul,Fioul - Price,0.08,0.34,140,10,2013
prix du fioul domestique aujourd hui,Fioul - Price,0.19,0.56,1000,10,2013
tarif fioul domestique,Fioul - Price,0.31,0.47,590,10,2013
tarif du fioul,Fioul - Price,0.39,0.38,480,10,2013
prix du fioul domestique ce jour,Fioul - Price,0.17,0.54,110,10,2013
cours fioul,Fioul - Price,0.12,0.26,320,10,2013
fioul le moins cher,Fioul - Low cost,0.81,0.79,260,10,2013
achat fioul,Fioul - Transactional,0.72,1.68,110,10,2013
prix du fuel aujourd hui,Fioul - Price,0.12,0.49,170,10,2013
commande fioul,Fioul - Transactional,0.73,1.95,110,10,2013
tendance prix du fioul,Fioul - Price,0.25,0.59,260,10,2013
prime fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.31,1.12,40,10,2013
prix du fioul bretagne,Fioul - Price,0.12,0.66,70,10,2013
prix du fioul vosges,Fioul - Price,0.09,0.69,20,10,2013
fioul discount,Fioul - Low cost,0.45,0.59,170,10,2013
prix du fioul aujourd hui,Fioul - Price,0.17,0.35,720,10,2013
livraison fuel,Fioul - Transactional,0.43,0.87,260,10,2013
aide chauffage fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.51,0.61,40,10,2013
prix du fioul aveyron,Fioul - Price,0.2,0.31,20,10,2013
court du fioul,Fioul - Price,0.15,0.28,50,10,2013
prix du fioul haut rhin,Fioul - Price,0.12,0.57,30,10,2013
