Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year,Close,High,Low,Average,Max,Min
prix du fioul,Fioul - Price,0.21,0.41,40500,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul,Fioul - Generic,0.42,0.75,9900,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fioul,Fioul - Price,0.2,0.51,8100,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fuel,Fioul - Price,0.17,0.51,14800,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul domestique,Fioul - Price,0.26,0.41,8100,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fuel,Fioul - Price,0.24,0.42,2400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fuel,Fioul - Generic,0.22,0.91,5400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fuel domestique,Fioul - Price,0.25,0.44,5400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul pas cher,Fioul - Low cost,0.81,1.11,1600,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul moins cher,Fioul - Low cost,0.76,1.01,3600,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fuel domestique,Fioul - Price,0.22,0.45,5400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution prix du fioul,Fioul - Price,0.12,0.39,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fioul domestique,Fioul - Price,0.25,0.48,2400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul domestique,Fioul - Generic,0.45,1.0,2900,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul prix,Fioul - Price,0.39,0.57,720,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fioul,Fioul - Price,0.11,0.21,2400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fuel domestique,Fioul - Generic,0.47,0.85,4400,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif fioul,Fioul - Price,0.31,0.35,1900,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fuel prix,Fioul - Price,0.41,0.53,590,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fuel moins cher,Fioul - Low cost,0.61,0.59,880,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
le prix du fioul,Fioul - Price,0.3,0.34,590,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
chauffage au fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.33,720,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tendance prix fioul,Fioul - Price,0.32,0.48,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cuve a fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.66,1300,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif fuel,Fioul - Price,0.22,0.48,880,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fuel,Fioul - Price,0.08,0.22,1000,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du litre de fioul,Fioul - Price,0.14,0.27,720,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide au chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.47,0.48,390,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul alsace,Fioul - Price,0.11,0.72,210,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fuel pas cher,Fioul - Low cost,0.77,1.02,720,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fioul domestique,Fioul - Price,0.16,0.41,480,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fuel domestique prix,Fioul - Price,0.38,0.64,260,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul en france,Fioul - Price,0.08,0.76,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution prix fioul,Fioul - Price,0.1,0.48,210,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul bas rhin,Fioul - Price,0.12,0.82,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul domestique prix,Fioul - Price,0.36,0.59,210,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.53,0.86,210,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul moselle,Fioul - Price,0.23,0.33,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif fuel domestique,Fioul - Price,0.28,0.42,1000,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.73,1900,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
livraison fioul,Fioul - Transactional,0.52,1.51,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,2.04,390,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours du fuel domestique,Fioul - Price,0.17,0.53,390,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix litre fioul,Fioul - Price,0.08,0.34,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul domestique aujourd hui,Fioul - Price,0.19,0.56,1000,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif fioul domestique,Fioul - Price,0.31,0.47,590,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif du fioul,Fioul - Price,0.39,0.38,480,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul domestique ce jour,Fioul - Price,0.17,0.54,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours fioul,Fioul - Price,0.12,0.26,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul le moins cher,Fioul - Low cost,0.81,0.79,260,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
achat fioul,Fioul - Transactional,0.72,1.68,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fuel aujourd hui,Fioul - Price,0.12,0.49,170,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
commande fioul,Fioul - Transactional,0.73,1.95,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tendance prix du fioul,Fioul - Price,0.25,0.59,260,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prime fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.31,1.12,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul bretagne,Fioul - Price,0.12,0.66,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul vosges,Fioul - Price,0.09,0.69,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul discount,Fioul - Low cost,0.45,0.59,170,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul aujourd hui,Fioul - Price,0.17,0.35,720,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
livraison fuel,Fioul - Transactional,0.43,0.87,260,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide chauffage fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.51,0.61,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul aveyron,Fioul - Price,0.2,0.31,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
court du fioul,Fioul - Price,0.15,0.28,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul haut rhin,Fioul - Price,0.12,0.57,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours fuel,Fioul - Price,0.11,0.25,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
le prix du fioul domestique,Fioul - Price,0.4,0.47,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul alsace,Fioul - Generic,0.29,0.79,90,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul manche,Fioul - Price,0.16,0.39,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
livraison de fioul,Fioul - Transactional,0.34,1.25,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
comparateur fioul,Fioul - Low cost,0.46,1.02,90,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix de fioul,Fioul - Price,0.39,0.57,210,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide pour le chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.61,0.69,90,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
quand acheter du fioul,Fioul - Transactional,0.44,0.82,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution du prix du fioul,Fioul - Price,0.13,0.38,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prixfioul,Fioul - Price,0.08,0.98,390,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul haute loire,Fioul - Price,0.09,0.81,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul loire,Fioul - Price,0.16,0.39,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul tarn,Fioul - Price,0.26,0.39,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul superieur,Fioul - Price,0.23,0.92,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul nord,Fioul - Price,0.1,0.18,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul vaucluse,Fioul - Price,0.3,0.36,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif du fuel domestique,Fioul - Price,0.32,0.42,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul oise,Fioul - Price,0.16,0.76,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours fuel domestique,Fioul - Price,0.18,0.59,260,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif du fioul domestique,Fioul - Price,0.38,0.38,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
le fioul,Fioul - Generic,0.09,0.69,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
le prix du fuel,Fioul - Price,0.22,0.68,170,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cours fioul domestique,Fioul - Price,0.16,0.7,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du litre de fioul domestique,Fioul - Price,0.18,0.45,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.38,0.65,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fonctionnement chaudiere fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,,260,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul calvados,Fioul - Price,0.33,0.76,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul pas de calais,Fioul - Price,0.13,0.73,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul gard,Fioul - Price,0.25,0.2,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul orne,Fioul - Price,0.19,0.19,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution prix du fuel,Fioul - Price,0.09,0.46,390,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
evolution prix fuel,Fioul - Price,0.11,0.35,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul var,Fioul - Price,0.36,0.69,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
comparateur prix fioul,Fioul - Low cost,0.62,0.67,170,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul sarthe,Fioul - Price,0.22,0.67,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
commande de fioul,Fioul - Transactional,0.67,1.39,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
tarif du fuel,Fioul - Price,0.25,0.52,140,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fuel domestique aujourd hui,Fioul - Price,0.14,1.61,720,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide au fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.27,0.75,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
livraison fioul domestique,Fioul - Transactional,0.52,1.58,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul isere,Fioul - Price,0.22,0.25,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul morbihan,Fioul - Price,0.22,0.76,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.79,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul loiret,Fioul - Price,0.27,0.57,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
achat groupé fioul,Fioul - Transactional,0.59,0.96,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul ille et vilaine,Fioul - Price,0.1,0.52,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul somme,Fioul - Price,0.12,0.15,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fuel chauffage,Fioul - Price,0.32,0.35,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fioul domestique aujourd hui,Fioul - Price,0.26,0.32,320,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix litre de fioul,Fioul - Price,0.14,0.18,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix moyen du fioul,Fioul - Price,0.11,0.41,50,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
cout du fioul,Fioul - Price,0.1,0.3,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix fioul aujourd hui,Fioul - Price,0.26,0.49,20,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
vente fioul domestique,Fioul - Transactional,0.48,0.65,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
courbe prix du fioul,Fioul - Price,0.07,0.65,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
fioul tarif,Fioul - Price,0.42,0.53,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du litre de fioul domestique aujourd hui,Fioul - Price,0.19,0.53,90,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
nettoyage cuve fioul prix,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,1.13,70,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul maine et loire,Fioul - Price,0.2,0.32,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
chaudiere fioul ventouse,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.52,110,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
prix du fioul deux sevres,Fioul - Price,0.09,0.75,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
commande fuel,Fioul - Transactional,0.69,2.04,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
nettoyage cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.21,2.08,90,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
vente fioul,Fioul - Transactional,0.31,0.67,10,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
aide pour le fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.4,0.79,40,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
estimation consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.1,0.97,30,10,2013,109.3591304347826,112.0,106.27,14.795188465873261,29.800000000000008,-3.5
